Name,Machine (bold means active),emb type,dataset,Edges,Nodes,Batch,shuffle,"initial a,b",val frac,dim,train,LR,seed,sampling,epochs,val loss sampled,val loss expected,DCG,Notes
DG1,pok10,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.05,50,adag,50,2052016,expectation,1000,0.6242397835,0.5938570584,,
DG2,pok11,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.05,100,adag,50,2052016,expectation,1000,0.5727914858,0.5624223653,,
DG3,pok12,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.05,200,adag,50,2052016,expectation,1000,0.5503403364,0.5448715019,,
,,,,,,,,,,,,,,,,,,,
DG4,pok13,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,5,adag,50,2052016,expectation,1000,1.392059794,1.227752301,,
DG5,pok14,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,10,adag,50,2052016,expectation,1000,1.393694969,1.276392474,,
DG6,pok16,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,15,adag,50,2052016,expectation,1000,1.392059794,1.227752301,,
DG7,pok17,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,20,adag,50,2052016,expectation,1000,1.392059794,1.227752301,,
DG8,pok18,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,25,adag,50,2052016,expectation,1000,1.392059794,1.227752301,,
DG9,pok20,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,50,adag,50,2052016,expectation,1000,1.392059794,1.227752301,,
DG10,pok21,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,100,adag,50,2052016,expectation,1000,1.392059794,1.227752301,,
DG11,pok22,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,200,adag,50,2052016,expectation,1000,1.091510886,0.5291709624,,
DGb4,pok13,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,5,adag,30,2052016,expectation,1000,1.392059794,1.227752301,,
DGb5,pok14,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,10,adag,30,2052016,expectation,1000,1.392059794,1.227752301,,
DGb6,pok16,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,15,adag,30,2052016,expectation,1000,1.392059794,1.227752301,,
DGb7,pok17,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,20,adag,30,2052016,expectation,1000,1.392059794,1.227752301,,
DGc4,pok13,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,5,adag,5,2052016,expectation,1000,1.422145511,0.7287691512,,
DGc5,pok14,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,10,adag,5,2052016,expectation,1000,1.342430376,0.647410849,,
DGc6,pok16,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,15,adag,5,2052016,expectation,1000,1.351785822,0.6122815514,,
DGc7,pok17,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,20,adag,5,2052016,expectation,1000,1.37477696,0.5996603991,,
DGb8,pok18,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,25,adag,30,2052016,expectation,1000,1.068867592,0.5744120642,,
DGb9,pok20,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,50,adag,30,2052016,expectation,1000,1.075211649,0.5539530749,,
DGb10,pok21,real,KG_233,,,100k,1,"internal b (1,-.5)",0.05,100,adag,30,2052016,expectation,1000,1.103739064,0.5381437388,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DG12,pok23,bit,Wordnet,,,100k,1,"internal b (1,-.5)",0.05,5,adag,5,2052016,expectation,1000,1.392059794,1.227752301,,
DG13,pok23,bit,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,5,adag,15,2052016,expectation,1000,1.387522881,0.6695147684,,
DG13b,pok23,bit,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,5,adag,3,2052016,3,1000,1.060511076,0.9861664426,,
DG13c,pok23,bit,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,5,adag,15,2052016,3,1000,1.058563819,1.026299188,,
DG14,pok10,bit,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,10,adag,15,2052016,3,1000,0.8451128543,0.7878961595,,
DG15,pok13,bit,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,15,adag,15,2052016,3,1000,0.7509017739,0.6753753605,,
DG16,pok14,bit,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,20,adag,15,2052016,expectation,1000,0.6876070815,0.391871514,,
DG161,pok17,bit,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,25,adag,15,2052016,expectation,1000,0.5856319448,0.3523068995,,
DG162,pok18,bit,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,50,adag,15,2052016,expectation,1000,0.3900280225,0.3006248824,,
DG163,pok10,bit,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,20,adag,15,2052016,3,1000,0.6510060735,0.5978175048,,
DG164,pok13,bit,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,25,adag,15,2052016,3,1000,0.5707291355,0.5254982123,,
DG165,pok10,bit,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,100,adag,15,2052016,3,1000,0.2242893446,0.2107448837,,
DG166,pok11,bit,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,35,adag,15,2052016,3,1000,0.4638850247,0.4325846728,,
,,,,,,,,,,,,,,,,,,,
DG17,pok23,real,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,5,adag,15,2052016,expectation,1000,1.398939612,0.5489345211,,
DG18,pok10,real,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,10,adag,15,2052016,expectation,1000,1.395514176,0.4054022631,,
DG19,pok13,real,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,15,adag,15,2052016,expectation,1000,1.394097495,0.3477355687,,
DG20,pok14,real,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,20,adag,15,2052016,expectation,1000,1.393392176,0.3120426879,,
DG21,pok16,real,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,25,adag,15,2052016,expectation,1000,1.392922804,0.287070031,,
DG22,pok12,real,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,50,adag,15,2052016,expectation,500,1.175487949,0.2413744064,,
DG23,pok13,real,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,100,adag,15,2052016,expectation,1000,0.86174148,0.2196796114,,
DG24,pok14,real,Wordnet,,,10k,1,"internal b (1,-.5)",0.05,200,adag,15,2052016,expectation,1000,0.7926148432,0.2054633802,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DW1,,deepwalk,Slashdot,,,,,,0.05,5,sgd,,2052016,expectation,,,,,
DW2,,deepwalk,Slashdot,,,,,,0.05,10,sgd,,2052016,expectation,,,,,
DW3,,deepwalk,Slashdot,,,,,,0.05,15,sgd,,2052016,expectation,,,,,
DW4,,deepwalk,Slashdot,,,,,,0.05,20,sgd,,2052016,expectation,,,,,
DW5,,deepwalk,Slashdot,,,,,,0.05,25,sgd,,2052016,expectation,,,,,
DW6,,deepwalk,Slashdot,,,,,,0.05,50,sgd,,2052016,expectation,,,,,
DW7,,deepwalk,Slashdot,,,,,,0.05,100,sgd,,2052016,expectation,,,,,
DW8,,deepwalk,KG_233,,,,,,0.05,5,sgd,,2052016,expectation,,,,,
DW9,,deepwalk,KG_233,,,,,,0.05,10,sgd,,2052016,expectation,,,,,
DW10,,deepwalk,KG_233,,,,,,0.05,15,sgd,,2052016,expectation,,,,,
DW11,,deepwalk,KG_233,,,,,,0.05,20,sgd,,2052016,expectation,,,,,
DW12,,deepwalk,KG_233,,,,,,0.05,25,sgd,,2052016,expectation,,,,,
DW13,,deepwalk,KG_233,,,,,,0.05,50,sgd,,2052016,expectation,,,,,
DW14,,deepwalk,KG_233,,,,,,0.05,100,sgd,,2052016,expectation,,,,,
DW15,,deepwalk,Wordnet,,,,,,0.05,5,sgd,,2052016,expectation,,,,,
DW16,,deepwalk,Wordnet,,,,,,0.05,10,sgd,,2052016,expectation,,,,,
DW17,,deepwalk,Wordnet,,,,,,0.05,15,sgd,,2052016,expectation,,,,,
DW18,,deepwalk,Wordnet,,,,,,0.05,20,sgd,,2052016,expectation,,,,,
DW19,,deepwalk,Wordnet,,,,,,0.05,25,sgd,,2052016,expectation,,,,,
DW20,,deepwalk,Wordnet,,,,,,0.05,50,sgd,,2052016,expectation,,,,,
DW21,,deepwalk,Wordnet,,,,,,0.05,100,sgd,,2052016,expectation,,,,,
,,,,,,,,,,,,,,,,,,,
DG25,pok12,bit,Slashdot,,,10k,1,"internal b (1,-.5)",0.05,10,adag,50,2052016,3,1000,0.9639356136,,,
DG26,pok13,bit,Slashdot,,,10k,1,"internal b (1,-.5)",0.05,10,adag,30,2052016,3,1000,0.9804163723,,,
DG27,pok14,bit,Slashdot,,,10k,1,"internal b (1,-.5)",0.05,10,adag,15,2052016,3,1000,1.012471569,,,
DG28,pok16,bit,Slashdot,,,10k,1,"internal b (1,-.5)",0.05,10,adag,5,2052016,3,1000,1.078841302,,,
DG30,pok17,bit,Slashdot,,,10k,1,"internal b (1,-.5)",0.05,25,adag,50,2052016,expectation,57,1.02,0.6657647709,,diverging sampling + expectation...
DG30b,pok17,bit,Slashdot,,,10k,1,"internal b (1,-.5)",0.05,25,adag,50,2052016,3,1000,0.8499358931,,,
DG31,pok18,bit,Slashdot,,,10k,1,"internal b (1,-.5)",0.05,100,adag,50,2052016,expectation,1000,0.6661132716,0.5483396217,,
DG32,pok20,real,Slashdot,,,10k,1,"internal b (1,-.5)",0.05,10,adag,50,2052016,expectation,1000,,0.7545895691,,
DG33,pok16,real,Slashdot,,,10k,1,"internal b (1,-.5)",0.05,25,adag,50,2052016,expectation,1000,,0.6540192155,,
DG34,pok18,real,Slashdot,,,10k,1,"internal b (1,-.5)",0.05,100,adag,50,2052016,expectation,1000,,0.5332645628,,